software	year	n_articles
edgeR	2014	427
edgeR	2015	757
edgeR	2016	1088
edgeR	2017	1488
edgeR	2018	1737
edgeR	2019	2563
edgeR	2020	3577
edgeR	2021	4780
edgeR	2022	5210
edgeR	2023	4941
edgeR	2024	5191
edgeR	2025	5214
featureCounts	2000	0
featureCounts	2001	0
featureCounts	2002	0
featureCounts	2003	0
featureCounts	2004	0
featureCounts	2005	0
featureCounts	2006	0
featureCounts	2007	0
featureCounts	2008	0
featureCounts	2009	0
featureCounts	2010	0
featureCounts	2011	0
featureCounts	2012	0
featureCounts	2013	1
featureCounts	2014	20
featureCounts	2015	75
featureCounts	2016	148
featureCounts	2017	337
featureCounts	2018	580
featureCounts	2019	873
featureCounts	2020	1479
featureCounts	2021	2244
featureCounts	2022	2961
featureCounts	2023	3333
featureCounts	2024	3808
featureCounts	2025	4144
FLAIR	2000	2
FLAIR	2001	9
FLAIR	2002	5
FLAIR	2003	12
FLAIR	2004	12
FLAIR	2005	13
FLAIR	2006	37
FLAIR	2007	60
FLAIR	2008	79
FLAIR	2009	159
FLAIR	2010	240
FLAIR	2011	379
FLAIR	2012	532
FLAIR	2013	769
FLAIR	2014	934
FLAIR	2015	1157
FLAIR	2016	1309
FLAIR	2017	1575
FLAIR	2018	1830
FLAIR	2019	2272
FLAIR	2020	3354
FLAIR	2021	4650
FLAIR	2022	5426
FLAIR	2023	4940
FLAIR	2024	5504
FLAIR	2025	5566
Geneformer	2000	0
Geneformer	2001	0
Geneformer	2002	0
Geneformer	2003	0
Geneformer	2004	0
Geneformer	2005	0
Geneformer	2006	0
Geneformer	2007	0
Geneformer	2008	0
Geneformer	2009	0
Geneformer	2010	0
Geneformer	2011	0
Geneformer	2012	0
Geneformer	2013	0
Geneformer	2014	0
Geneformer	2015	0
Geneformer	2016	0
Geneformer	2017	0
Geneformer	2018	0
Geneformer	2019	0
Geneformer	2020	0
Geneformer	2021	1
Geneformer	2022	0
Geneformer	2023	2
Geneformer	2024	44
Geneformer	2025	105
GLUE	2000	17
GLUE	2001	22
GLUE	2002	37
GLUE	2003	38
GLUE	2004	57
GLUE	2005	80
GLUE	2006	122
GLUE	2007	164
GLUE	2008	217
GLUE	2009	353
GLUE	2010	515
GLUE	2011	719
GLUE	2012	1000
GLUE	2013	1298
GLUE	2014	1643
GLUE	2015	1965
GLUE	2016	2118
GLUE	2017	2588
GLUE	2018	3052
GLUE	2019	3470
GLUE	2020	4892
GLUE	2021	6480
GLUE	2022	7486
GLUE	2023	7412
GLUE	2024	7478
GLUE	2025	6622
Harmony	2000	6
Harmony	2001	6
Harmony	2002	11
Harmony	2003	16
Harmony	2004	33
Harmony	2005	49
Harmony	2006	63
Harmony	2007	74
Harmony	2008	124
Harmony	2009	188
Harmony	2010	296
Harmony	2011	377
Harmony	2012	510
Harmony	2013	690
Harmony	2014	928
Harmony	2015	1077
Harmony	2016	1249
Harmony	2017	1398
Harmony	2018	1647
Harmony	2019	1989
Harmony	2020	3284
Harmony	2021	4938
Harmony	2022	6684
Harmony	2023	6400
Harmony	2024	8113
Harmony	2025	9692
HISAT	2000	0
HISAT	2001	0
HISAT	2002	0
HISAT	2003	0
HISAT	2004	0
HISAT	2005	0
HISAT	2006	0
HISAT	2007	0
HISAT	2008	0
HISAT	2009	0
HISAT	2010	1
HISAT	2011	0
HISAT	2012	0
HISAT	2013	1
HISAT	2014	1
HISAT	2015	4
HISAT	2016	50
HISAT	2017	210
HISAT	2018	501
HISAT	2019	1067
HISAT	2020	1589
HISAT	2021	2511
HISAT	2022	3306
HISAT	2023	3322
HISAT	2024	3158
HISAT	2025	2347
HTSeq	2000	0
HTSeq	2001	0
HTSeq	2002	0
HTSeq	2003	0
HTSeq	2004	0
HTSeq	2005	0
HTSeq	2006	0
HTSeq	2007	0
HTSeq	2008	1
HTSeq	2009	0
HTSeq	2010	4
HTSeq	2011	10
HTSeq	2012	29
HTSeq	2013	103
HTSeq	2014	245
HTSeq	2015	504
HTSeq	2016	739
HTSeq	2017	1050
HTSeq	2018	1293
HTSeq	2019	1560
HTSeq	2020	2114
HTSeq	2021	2710
HTSeq	2022	3049
HTSeq	2023	2620
HTSeq	2024	2548
HTSeq	2025	2461
Limma	2000	0
Limma	2001	0
Limma	2002	0
Limma	2003	0
Limma	2004	4
Limma	2005	21
Limma	2006	37
Limma	2007	105
Limma	2008	208
Limma	2009	238
Limma	2010	352
Limma	2011	452
Limma	2012	605
Limma	2013	797
Limma	2014	912
Limma	2015	1117
Limma	2016	1324
Limma	2017	1624
Limma	2018	1863
Limma	2019	2525
Limma	2020	4062
Limma	2021	6517
Limma	2022	8760
Limma	2023	7850
Limma	2024	8358
Limma	2025	9075
MAGIC	2000	20
